func@0x140004320
getenv_helper_nolock
func@0x140011980
func@0x140005c00
[libsamplerate_plugin.dll]
func@0x1814590a0
func@0x140004bb0
func@0x140017b90
RtlpLookupFunctionEntryForStackWalks
func@0x14000bbc0
RtlpUnwindPrologue
RtlpLowFragHeapAllocFromContext
func@0x14000c0a0
func@0x1400194c0
func@0x1800a6d44
memcpy
func@0x140011030
func@0x1405de700
ExpReleaseResourceExclusiveForThreadLite
ExpAcquireResourceExclusiveLite
RabinKarpFindPatternInBuffer
func@0x14001f7e0
func@0x140943070
func@0x1400066f0
KeAcquireInStackQueuedSpinLock
func@0x1405f1190
vAlphaPerPixelOnly
ExReleasePushLockExclusiveEx
func@0x1401be5f0
func@0x140013110
func@0x140009040
KiDeferredReadySingleThread
ExpAcquireResourceSharedLite
HalpTscQueryCounterOrdered
func@0x18043c780
KiSwapThread
ExTryAcquirePushLockSharedEx
RtlCopyMemoryNonTemporal
func@0x1406ab110
ExpReleaseResourceSharedForThreadLite
RtlpAllocateHeapInternal
ExAcquirePushLockExclusiveEx
ObpReferenceObjectByHandleWithTag
KeWaitForSingleObject
RtlEnterCriticalSection
func@0x180254f80
func@0x140ba56f0
SwapContext
KiSystemServiceUser
memset
KeAbPostRelease
RtlpWalkFrameChain
func@0x14000c010
RtlLeaveCriticalSection
func@0x140ba5b70
ExAllocateHeapPool
func@0x140662450
ExReleaseResourceLite
func@0x140436930
RtlpxVirtualUnwind
func@0x1405cba10
ExReleasePushLockSharedEx
memset
RtlpLfhFindClearBitAndSet
KeReleaseInStackQueuedSpinLock
func@0x1408eb450
func@0x18145a1d0
func@0x1802532e0
KiSystemServiceRepeat
ExAcquirePushLockSharedEx
func@0x14097f4f0
func@0x140ba5730
RtlpHpLfhSlotAllocate
func@0x140ad20e0
MmCreateKernelStack
func@0x18043c630
ObWaitForMultipleObjects
func@0x1818183d0
KiCommitThreadWait
KiExitDispatcher
SignalSynchronizationObjectInternal
func@0x140a57890
RtlpFreeHeapInternal
KiChooseTargetProcessor
func@0x14077d650
KiAbThreadRemoveBoosts
func@0x140010a80
func@0x140001830
strcmp
xxxDCEWindowHitTestIndirect_Iterative
RealGetProp
KiUpdateSpeculationControl
func@0x14092cb1c
func@0x18043c230
PsBoostThreadIoEx
_LocaleUpdate::_LocaleUpdate
RtlpHpLfhSubsegmentFreeBlock
NtUserMsgWaitForMultipleObjectsEx
malloc
DNG_DrawRow
ExFreeHeapPool
EtwTraceAcquiredExclusiveUserCrit
ExTryAcquirePushLockExclusiveEx
KeLeaveCriticalRegion
func@0x1409fa4a0
func@0x140005100
strnicmp_l
EtwTraceReleaseUserCrit
KiBeginThreadAccountingPeriod
func@0x1801e57c0
ExpLookupHandleTableEntry
func@0x1405de8e0
func@0x1407f4490
KiInsertTimerTable
func@0x1817968c0
func@0x1800c4e60
RtlAllocateHeap
func@0x1405f12a0
func@0x181762100
RtlpAllocateHeap
func@0x1801c06d0
memcmp
MmDeleteKernelStack
_ascii_strnicmp
func@0x180143670
func@0x140abda60
DXGHWQUEUE::SubmitCommand
KeYieldProcessorEx
IsWindowHolographicForHitTest
HANDLELOCK::vLockHandle
