func@0x1011cc60
func@0x100ddaf0
func@0x100dcc90
func@0x1011ce90
func@0x100dca70
func@0x100dd6e0
func@0x100de0a0
func@0x1011fd80
func@0x10100540
func@0x100dcc20
func@0x100dd910
func@0x100dda70
func@0x100dd100
func@0x100dd200
memcpy
memcpy
func@0x100dd2c0
MiMakePageAvoidRead
func@0x100dd570
func@0x10112d00
MiInsertPageInList
MmUnmapViewInSystemCache
func@0x100de230
DNG_DrawRow
MiPfnShareCountIsZero
MiCheckProcessorPteCache
func@0x402c8c
MI_READ_PTE_LOCK_FREE
MmCopyToCachedPage
MiInsertCachedPte
memset
MiRemoveWsleList
RtlpLowFragHeapAllocFromContext
ExAcquirePushLockExclusiveEx
MiGetUltraMapping
ExReleasePushLockExclusiveEx
vAlphaPerPixelOnly
KeAcquireInStackQueuedSpinLock
func@0x100de7c0
RtlpAllocateHeapInternal
memcpy
FltpPerformPreCallbacksWorker
ExpInterlockedPopEntrySListResume
RtlLeaveCriticalSection
NtfsFileCompareValues
MiMakeValidPte
func@0x100dd600
memset
ExReleasePushLockEx
MiPteInShadowRange
ExAcquirePushLockSharedEx
vAlphaPerPixelAndConst
ExpReleaseResourceSharedForThreadLite
ExpAcquireResourceSharedLite
ExpAcquireResourceExclusiveLite
ExAllocateHeapPool
func@0x1800a6d44
MiInsertAndUnlockStandbyPages
MmCheckCachedPageStates
malloc
KiCallInterruptServiceRoutine
ExpReleaseResourceExclusiveForThreadLite
SwapContext
memset
MiReleasePtes
KiAbThreadRemoveBoosts
KiInterruptSubDispatchNoLockNoEtw
HANDLELOCK::vLockHandle
KiExecuteAllDpcs
KiChooseTargetProcessor
RtlEnterCriticalSection
KiDeferredReadySingleThread
KiUpdateSpeculationControl
ExReleaseResourceLite
memcpy
KeWaitForSingleObject
ExAcquireCacheAwarePushLockSharedEx
ExReleaseCacheAwarePushLockSharedEx
GdiHandleManager::DecodeIndex
ObpReferenceObjectByHandleWithTag
MiDecrementAndInsertStandbyPages
MmHardFaultBytesRequired
KiInsertQueueDpc
CcGetVirtualAddress
xxxInternalDoPaint
KiRetireDpcList
KiUpdateTime
func@0x441993
ExAcquireRundownProtectionCacheAwareEx
func@0x1400abd58
MiOffsetToProtos
KxDispatchInterrupt
KeClockInterruptNotify
CcUnmapVacbArray
EtwpReserveTraceBuffer
MiReservePtes
RtlpFreeHeapInternal
PsBoostThreadIoEx
draw_clrt_nf_ntb_o_to_temp_start
RtlpLfhBlockBitmapAllocate
FltGetStreamContext
func@0x100dd660
ExFreeHeapPool
EtwpLogKernelEvent
HmgShareLockCheck
DNG_StretchRow
ExReleaseRundownProtectionCacheAwareEx
func@0x14009256c
ProbeForWrite
func@0x1400fb210
FltpAllocateIrpCtrlInternal
func@0x1400ba59c
KiForwardTick
otlCacheManager::GetNextLookup
HMLockObject
func@0x449a74
Bulk_Stage_MapIntoRing
NtfsInitializeIrpContextInternal
func@0x44906c
KiBeginThreadAccountingPeriod
RtlCopyMemoryNonTemporal
MiGetPage
CcSetDirtyInMask
NtfsCheckMappingPairs
IopQueueThreadIrp
RtlAllocateHeap
KeReleaseInStackQueuedSpinLockFromDpcLevel
KzLowerIrql
func@0x100deba0
KiSwapThread
ExAcquireSpinLockShared
KeAbPostRelease
func@0x1011e880
MultiByteToWideChar
vSrcOpaqCopyS8D32
func@0x1400b1b90
memset
CcScheduleReadAheadEx
func@0x140930bec
func@0x10002044
func@0x14022b004
func@0x1000212c
FltpGetStreamListCtrl
FltpPassThroughFastIo
func@0x452d04
